n|j|name|type|date|title|org|geo|freq|resources|tags|author|email|orgh|licID|lictitle|notes
250|0|assigning-national-service-numbering-ranges|dataset|2021-09-01|טווחי מספרי שירות ארציים 1-700|tikshoret|No|NA|2|2|--|numbering@moc.gov.il|משרד התקשורת|cc-by|Creative Commons Attribution|רשימת הקצאות המספור בתבנית מספר טלפון לשירות ארצי לבעלי רישיון כללי של משרד התקשורת.התבנית הינה מסוג  1700XXXXXX "מספר חיוב מפוצל".בעלי רישיון כללי של משרד התקשורת: https://www.gov.il/he/Departments/Guides/licתכנית מספור שירותי טלפונייה: https://www.gov.il/he/Departments/policies/number_policyשירותי תקשורת - מספר שירותי טלפונייה:https://www.gov.il/he/Departments/Topics/numbering_telephony_services
251|0|atarim-leumim|dataset|2020-06-11|אתרים לאומיים|ministry_of_the_environment|No|NA|1|1|--|TanyaT@sviva.gov.il|המשרד להגנת הסביבה|||אתרים שהוכרזו על ידי המדינה כ"אתרים בעלי חשיבות לאומית היסטורית להתפתחות הישוב בארץ".
252|0|atirot|dataset|2022-09-08|היחידה לחופש המידע - מאגר עתירות|ministry_of_justice|No|NotConstant|2|0|--|yehudakat@justice.gov.il|משרד המשפטים|other-open|אחר (פתוח)|קובץ הכולל את כל עתירות חופש המידע שהוגשו לבתי המשפט המחוזיים בנושא חופש המידע בשנת 2021 לרבות מספר הליך, שם המשיב ועילת העתירה.
253|0|atl|dataset|2020-06-11|תצלום אויר 2015 2 מטר - גליון עתלית|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
254|0|audit-cities|dataset|2022-07-17|דוחות כספיים מבוקרים עיריות|interior_affairs|No|NA|8|4|--|debbieso@moin.gov.il|משרד הפנים|||דוחות כספיים מבוקרים של הרשויות המקומיות (עיריות) המבוצעים על-ידי אגף בכיר לביקורת ברשויות - משרד הפנים.
255|0|autism-schools|dataset|2022-08-09|מסגרות לימוד לילדים על פני רצף האוטיזם|ministry-health|No|NotConstant|1|4|--|Call.Habriut@MOH.GOV.IL|משרד הבריאות|other-open|אחר (פתוח)|רשימת מסגרות לימוד ברחבי הארץ המיועדות לילדים הנמצאים על פני הרצף האוטיסטי.
256|0|automated-devices|dataset|2022-09-08|מכשירים אוטומטיים|bank_israel|No|Day|2|4|--|support@boi.gov.il|בנק ישראל|other-open|אחר (פתוח)|המידע מוצג ככלי עזר לציבור, והאחריות לתוקפו על התאגידים הבנקאיים בלבד
257|0|average-salary|dataset|2020-06-11|שכר ממוצע במשק|social_security|No|NA|1|3|--|cochava@nioi.gov.il|המוסד לביטוח לאומי|||שכר ממוצע לפי סעיפים 1 ו-2 מאז שנת 1973 ועד היום
258|0|avian-influenza-events|dataset|2022-08-08|אירועי שפעת העופות|ministry_of_agriculture|No|NotConstant|1|1|--|netaor@moag.gov.il|משרד החקלאות ופיתוח הכפר|other-open|Other (Open)|מאגר זה מציג נתונים על מקרי שפעת העופות בישראל
259|0|ayalontrafficcounts|dataset|2022-09-01|ספירות תנועה תקופתיות בדרך 20 (נתיבי איילון)|ministry_of_transport|Yes|Year|4|2|--|geo@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|ספירות התנועה מודדות את סה"כ היקף התנועה ברמפות ובדרך העיקרית בדרך מס' 20 - נתיבי איילון.   הספירות מתבצעות באופן תקופתי במשך שבוע ימים לכל כיוון, בהפרדה לפי רבעי שעה. ספירות תנועה במתכונת זו בוצעו ב-2019, וב-2021.  הספירות מועברות ללמ"ס, כדי שיכללו בסל ספירות התנועה לאומי.
260|0|azakamaaleadumim|dataset|2021-03-21|צופרי אזעקה|maaleedumim|No|NA|1|3|--|mokdan@mam.org.il|עיריית מעלה אדומים|other-open|Other (Open)|רשימת צופרי אזעקה במעלה אודמים
261|1|bakashot_cpc|dataset|2022-09-07|סיווגי CPC לבקשות פטנט|ministry_of_justice|No|Day|2|2|--|yehudakat@justice.gov.il|משרד המשפטים|cc-by|Creative Commons Attribution|סיווגי CPC בבקשות לרישום פטנט בישראל
262|1|bakashot_ipc|dataset|2022-09-07|סיווגי IPC לבקשות פטנט|ministry_of_justice|No|Day|2|1|--|yehudakat@justice.gov.il|משרד המשפטים|other-open|אחר (פתוח)|סיווגי IPC בבקשות לרישום פטנט בישראל
263|0|bakashot_patents|dataset|2022-09-07|בקשות לפטנטים|ministry_of_justice|No|Day|2|1|--|yehudakat@justice.gov.il|משרד המשפטים|other-open|אחר (פתוח)|בקשות שהוגשו להגנה ישראלית על פטנט, ומותרים לפרסום
264|0|banks|dataset|2020-06-09|תאגידים בנקאיים|bank_israel|No|NA|4|1||support@boi.gov.il|בנק ישראל|||תאגידים בנקאיים
265|0|basic_domes|dataset|2022-03-02|כמות מוכרת לבעלי רישיון אספקה החל משנת 2018|water_authority|No|Year|1|5|--|Inf_datagov@water.gov.il|הרשות הממשלתית למים ולביוב|cc-by|Creative Commons Attribution|כמות מוכרת לבית הקבועה בחוק הינה 3.5 מ"ק לנפש לחודש.ברישיונות אספקה מצויינת כמות המים שעל הספק לספק לצרכניו.הנתונים המוצגים במאגר זה מתייחסים לכמות מוכרת משנת 2018 ואילך
266|0|basin|dataset|2022-04-07|רשימת אגנים|water_authority|No|Year|1|5|--|Inf_datagov@water.gov.il|הרשות הממשלתית למים ולביוב|cc-by|Creative Commons Attribution|רשימת אגנים
267|0|batei-esek|dataset|2022-09-09|סחר, יבוא וייצור מוצרי תעבורה|ministry_of_transport|No|Day|1|3|--|webmaster@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|מאגר בתי מסחר ומפעלים לחלקי חילוף, יבואני חלקי חילוף ואביזרים לרכב, יצרני מרכבים ויצרני גרורים.
268|0|beach|dataset|2022-08-28|חופים ותחנות הצלה|interior_affairs|No|NotConstant|1|5|--|drored@moin.gov.il|משרד הפנים|other-open|אחר (פתוח)|פירוט חופים ותחנות הצלה לפי מחוז, ים, וגוף מוניציפלי. כולל סוגי חופים ונתוני חופים - אורך, רוחב ונ.צ. לכל תחנה.
269|0|beneficiary_recipients|dataset|2022-05-01|מקבלי הטבה לפי ספק|water_authority|No|Year|1|5|--|Inf_datagov@water.gov.il|הרשות הממשלתית למים ולביוב|other-open|Other (Open)|בשנת 2012 החליטה ועדת הכספים של הכנסת על מתן כפל הטבה של הכמות המוכרת לפי תעריף מים נמוך. ההטבה ניתנת לזכאים המדווחים על ידי 3 גופים:1. ביטוח הלאומי2. משרד האוצר - ניצולי שואה3. משרד הביטחון.הוקמה מערכת ייעודית ממוחשבת לצורך ביצוע מתן ההטבה מול ספקי המים, כאשר אחת לחודש מתקבל מ-3 הגופים הנ"ל קובץ נתונים עדכני, אשר כולל את מספר הזכאים שמקבלים הטבה נכון לאותו חודש. מטרת המערכת לעדכן ולפצל מידי חודש, את רשימת הצרכנים הזכאים (שפרטיהם מתקבלים מהביטוח הלאומי, הרשות לניצולי השואה וממשרד הביטחון), בין כ-1000 ספקי מים, כדי שהספקים יאתרו את הצרכנים הזכאים שבתחומם.הדוח המוצג כאן מפרט את מספר הזכאים לכל ספק מים, נכון ליום הפקת הדוח, בהתאם לגוף בו הוא רשום כמקבל הטבה. ספקי המים נדרשים לעדכן את נתוני הזכאות במערכות המידע שלהם, לספק את ההטבה באופן שוטף לצרכנים הזכאים ולדווח במערכת הייעודית את הכמויות שסופקו לזכאים.
270|0|bgv|dataset|2020-06-11|תצלום אויר 2015 2 מטר - גליון בית גוברין|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
271|0|bichildrengrowth2016|dataset|2020-06-09|נתוני הערכת גדילה של תלמידים בישראל - משרד הבריאות|ministry-health|No|NA|1|6|--|eszter.somos@moh.gov.il|משרד הבריאות|||סיכום מדדי גדילה שבוצעו בבתי ספר ע"י אחיות בריאות הציבור לתלמידי כיתות א' ו-ז' בישראל.מידע נוסף באתר משרד הבריאות: https://www.health.gov.il/Subjects/KidsAndMatures/school/Pages/BI.aspx
272|0|bicycle_jer_2019|dataset|2021-03-07|שבילי אופניים בירושלים|ministry_of_transport|No|NA|4|5|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|שבילי אופניים של עיריית ירושלים
273|0|bike_mahirlair|dataset|2021-03-07|אופניים - מהיר לעיר|ministry_of_transport|No|NA|4|5|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|שבילי אופניים במסגרת פרויקט מהיר לעיר (נתיבי העדפה).מקור: נתיבי איילון (2019 רבעון 3)
274|0|bike_net_center|dataset|2022-05-24|רשת רכיבה מחוז מרכז|ministry_of_transport|Yes|NotConstant|4|8|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|רשת מתוכננת לרכיבה על כלי רכב לא ממונעים (אופניים, קורקינט וכו') עבור מחוז מרכז
275|0|bike_net_tlv|dataset|2022-06-02|רשת רכיבה מחוז תל אביב|ministry_of_transport|Yes|NA|5|5|--|geo@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|רשת מתוכננת לרכיבה על כלי רכב לא ממונעים (אופניים, קורקינט וכו) עבור מחוז תל אביב
276|0|bilateral-communications-agreements|dataset|2020-07-09|הסכמי תקשורת בילטרליים עם מדינות|tikshoret|No|NA|5|3||vizanm@moc.gov.il|משרד התקשורת|cc-by|Creative Commons Attribution|אמנות אלו מכילות התחייבויות כלליות בתחום הבזק והדואר האמנה הדו-צדדית משמשת בסיס להתפתחות היחסים ושיתוף הפעולה בתחום הבזק בין ישראל למדינה עימה נכרתה האמנה תוכן האמנות מסוג זה הינו לרוב הצהרתי הסוגיות המוסדרות באמנה אינן בגדר "רשימה סגורה", וניתן להוסיף על האמנה ולפרט בה נושאים.
277|0|bod|dataset|2020-07-09|תצלום אויר 2015 2 מטר - גליון בארות עודד|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
278|0|bor|dataset|2020-07-09|תצלום אויר 2015 2 מטר - גליון באר אורה|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
279|0|bor_depth|dataset|2022-04-07|עומק בקידוחים|water_authority|No|Year|1|5|--|Inf_datagov@water.gov.il|הרשות הממשלתית למים ולביוב|cc-by|Creative Commons Attribution|עומק בקידוחים.
280|0|borehole_level|dataset|2022-04-07|מפלסי קידוחים|water_authority|No|Quarter|1|7|--|Inf_datagov@water.gov.il|הרשות הממשלתית למים ולביוב|cc-by|Creative Commons Attribution|מפלסי קידוחים
281|0|borehole_refpoint|dataset|2022-04-07|נקודת יחס אחרונה בקידוחים|water_authority|No|Year|1|5|--|Inf_datagov@water.gov.il|הרשות הממשלתית למים ולביוב|cc-by|Creative Commons Attribution|נקודת יחס אחרונה בקידוחים
282|0|boreholes|dataset|2022-04-07|קידוחי רשות המים|water_authority|No|Year|1|5|--|Inf_datagov@water.gov.il|הרשות הממשלתית למים ולביוב|cc-by|Creative Commons Attribution|רשימת הקידוחים השונים שחטיבת אסדרה מנהלת, נותנת רישוי, מפקחת ומסדירה הפקה. רשימה זו מתעדכנת מדי שנה.
283|0|borehole_wq_params|dataset|2022-08-01|נתוני איכות מים בקידוחים|water_authority|No|NotConstant|1|7|--|Inf_datagov@water.gov.il|הרשות הממשלתית למים ולביוב|cc-by|Creative Commons Attribution|מאגר המידע מכיל נתוני איכות מים על פי ריכוז אחרון שנמדד לכל פרמטר משנת 2007 ואילך.הקובץ נתוני איכות מים בקידוחים מכיל נתונים של קבוצות הפרמטרים הבאות: כלוריד וחנקה, חומרי הדברה, מתכות וחומרים אורגנים.מקור המידע הוא בבדיקות בקידוחי הפקה על פי הנחיות משרד הבריאות, סקרים של רשות המים ובדיקות מזהמים המבוצעות בקידוחי ניטור על פי הנחיות רשות המים.
284|0|bor_perfor|dataset|2022-04-07|רשימת מסננות בקידוחים|water_authority|No|Year|1|6|--|Inf_datagov@water.gov.il|הרשות הממשלתית למים ולביוב|cc-by|Creative Commons Attribution|רשימת עומקי המסננות בקידוחים.
285|0|bqt|dataset|2020-06-11|תצלום אויר 2015 2 מטר - גליון בקעות|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
286|0|br7-address|dataset|2021-07-20|מספרי בתים ושמות הרחובות|beer-sheva|Yes|Quarter|5|9|--|emrib@br7.org.il|עיריית באר שבע|other-open|Other (Open)|סימון נקודתי של מספר הבית, שם הרחוב, וקוד רחוב מספרי של הלשכה המרכזית לסטטיסטיקה
287|0|br7-budjet|dataset|2021-01-25|תקציב עיריית ב"ש|beer-sheva|No|Year|3|7|--|emrib@br7.org.il|עיריית באר שבע|other-open|Other (Open)|תקציב עיריית באר שבע, מספר חשבון, שם חשבון, מספר מחלקה, נתוני ביצוע והצעת תקציב.
288|0|br7-michrazim|dataset|2021-01-25|מכרזים|beer-sheva|No|Week|3|8|--|emrib@br7.org.il|עיריית באר שבע|other-open|Other (Open)|מכרזים ופניות לקבלת הצעות מחיר פעילים והיסטוריים בעיר.
289|0|br7-shimur|dataset|2021-01-25|מבנים לשימור|beer-sheva|Yes|NotConstant|3|11|--|emrib@br7.org.il|עיריית באר שבע|other-open|Other (Open)|מיקומי המבנים לשימור הנמצאים ברחבי העיר - כפי שהוגדרו בתכנית המתאר העירונית ובוועדת השימור העירונית, שכבות שימור המבנים, הגדרות ומתחמים.על מנת לקבל תמונה מלאה, מומלץ להוריד את השכבות ולצפות בהן יחד.
290|0|br7-zoning|dataset|2022-08-03|ייעודי קרקע|beer-sheva|Yes|Quarter|10|11|--|emrib@br7.org.il|עיריית באר שבע|other-open|Other (Open)|קומפילציה של המגרשים מתוך תכניות בניין עיר מאושרות. לכל מגרש נתונים אודות התכנית אשר קבעה את המגרש, מספר המגרש, ייעוד הקרקע, התכנית שקבעה את ייעוד הקרקע וקישור לדף מידע המכיל את הנתונים אודותיו.גבולות המגרשים שורטטו על-פי נתוני המרכז למיפוי ישראל (מפ"י) בכל המקרים בהם גבול המגרש וגבול החלקה זהים. המידע נועד לאינדיקציה בלבד. גבולות המגרשים שורטטו ברמה שאינה מדויקת לחלוטין, ואין בה בכדי להחליף מדידה.ניתן לצפות בשכבת יעודי הקרקע גם דרך אתר ה-GIS העירונינפתח בחלון חדש
291|0|branches|dataset|2022-09-08|סניפים של בנקים|bank_israel|No|Day|4|1|--|support@boi.gov.il|בנק ישראל|other-open|אחר (פתוח)|סניפים של בנקים
292|0|britzugiyut|dataset|2020-06-11|מרשם ברית הזוגיות|ministry_of_justice|No|NA|1|3|--|datagov_support@justice.gov.il|משרד המשפטים|cc-by|Creative Commons Attribution|רישום במרשם ברית הזוגיות, בהתאם לחוק ברית הזוגיות לחסרי דת, תש"ע-2010 , נועד להעניק אישור חוקי המקביל לרישום במרשם נישואין, לבני זוג חסרי דת.עיקר התנאים לרישום במרשם ברית הזוגיות:• שני בני הזוג חסרי דת.• שני בני הזוג הינם אזרחי או לתושבי ישראל שמלאו להם 18 שנים• שני בני הזוג  שהו בישראל במהלך 5 השנים האחרונות לתקופה של לפחות 3 שנים • בני הזוג אינם קרובי משפחה כהגדרת החוק• בני הזוג  אינם נשואים זה לזו ואף אינם רשומים במרשם האוכלוסין כנשואים זה לזו• בני הזוג אינם נשואים לאחרים ואף אינם רשומים כנשואים לאחרים במרשם האוכלוסין  או במרשם דומה במדינה אחרתבמקרה של פסולי דין או מי שמונו להם אפוטרופוס, בית המשפט אישר שהם מודעים להסכמתם להיכנס בברית הזוגיות.
293|0|brt_line|dataset|2022-07-06|קווי אוטובוסים מהירים BRT|ministry_of_transport|No|NA|4|6|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|קווי אוטובוסים מהירים - BRT במטרופולין תל אביב.
294|0|bsh|dataset|2020-06-11|תצלום אויר 2015 2 מטר - גליון בית שאן|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
295|0|bsm|dataset|2020-06-11|תצלום אויר 2015 2 מטר - גליון בית שמש|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
296|0|bsv|dataset|2020-06-11|תצלום אויר 2015 2 מטר - גליון באר שבע|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
297|0|budget2020|dataset|2021-09-13|ביצוע תקציב המשכי והתוכנית הכלכלית - שנת 2020 - לא מבוקר|mof|No|NA|1|3|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|קובץ אקסל זה הופק מהמערכות התפעוליות ומהווה תמונת מצב לנתוני ביצוע התקציב ההמשכי והתוכנית הכלכלית (קורונה) בשנת 2020 ברמת פירוט של תקנה תקציבית, לרבות תקנות הכנסה.
298|0|budget-changes-2014|dataset|2020-06-11|שינויים תקציביים מאושרים לשנת 2014|mof|No|NA|2|1|--|eladl@mof.gov.il|משרד האוצר|||מאגר זה מכיל את השינויים התקציביים שהועברו על ידי ממשלת ישראל לוועדת הכספים בנוגע לתקציב 2014
299|0|budget-changes-2015|dataset|2020-06-11|שינויים תקציביים מאושרים לשנת 2015|mof|No|NA|2|1|--|eladl@mof.gov.il|משרד האוצר|||מאגר זה מכיל את השינויים התקציביים שהועברו על ידי ממשלת ישראל לוועדת הכספים בנוגע לתקציב 2015
300|0|budget-changes-2016|dataset|2020-06-11|שינויים תקציביים מאושרים לשנת 2016|mof|No|NA|2|1|--|eladl@mof.gov.il|משרד האוצר|||מאגר זה מכיל את השינויים התקציביים שהועברו על ידי ממשלת ישראל לוועדת הכספים בנוגע לתקציב 2016
301|0|buildingsites|dataset|2022-09-08|רשימת אתרי בנייה פעילים|labor|No|Day|2|1|--|Noam.Raanan@labor.gov.il|זרוע העבודה|other-open|אחר (פתוח)|רשימה של אתרי הבנייה הפעילים כיום בישראל, ושהתקבלו הודעות על פעולות בנייה בהם בהתאם לתקנות הבטיחות בעבודות בנייה התשמ"ח-1988.
302|0|bureaus-of-health|dataset|2022-05-09|לשכות הבריאות - משרד הבריאות|ministry-health|No|NA|1|4|--|Call.Habriut@MOH.GOV.IL|משרד הבריאות|||רשימת לשכות בריאות מחוזיות ונפתיות, דרכים ליצירת קשר והשירותים הניתנים בהן
303|0|bus_fleet|dataset|2022-09-09|ציי רכב אוטובוסים|ministry_of_transport|No|Day|1|3|--|rapha@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|מאגר זה מכיל נתונים אודות ציי האוטובוסים ופרטים נוספים על האוטובוס השייכים למפעילי האוטובוסים בתחבורה הציבורית. הקובץ מתעדכן יומית עם הנתונים הבאים: שם מפעיל, מספר אוטובוס, ממוגן אבנים, ממוגן ירי, שנת ייצור, מדינת ייצור, קילומטראז'.
304|0|businessreq|dataset|2022-08-03|דרישות בטיחות אש לרישוי עסקים|firefightingcommission|No|Month|12|6|--|adias@102.gov.il|כבאות והצלה לישראל|||דרישות בטיחות אש של הרשות הארצית לכבאות והצלה לצורך קבלת רישיון עסק או חידושו.
305|0|bus_rishui_bitzua_2021|dataset|2022-09-02|תכנון וביצוע אוטובוסים|ministry_of_transport|No|Month|3|4|--|bidata@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|מאגר זה מציג את תכנון הנסיעות של האוטובוסים בתחבורה הציבורית בכל חודש: נסיעות רישוי מאושרות, אי ביצוע, הקדמות, איחורים, נסיעות תקינות, נסיעות שלא ברישוי. המאגר יתעדכן כל 1 לחודש עם הנתונים של החודשים שעברו מתחילת השנה הקלאנדרית הנוכחית ובעיכוב של 3 חודשים אחורה.
306|0|bus_speed|dataset|2022-01-06|אוטובוסים - מהירות נסיעה|ministry_of_transport|No|NA|5|0|--|GOLDO@MOT.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|Other (Open)|השכבה מבוססת על עיבוד של 10 ימי חול בנובמבר 2021 ומציגה מהירות נסיעה ממוצעת בשעת שיא בוקר 6:00-9:00 ושעת שיא ערב 15:00-19:00 בימי א', ג', ה'. סימול ותוויות ע"פ מהירות נסיעה ממוצעת בשעת שיא בוקר ביום ג'.
307|0|bus_stops|dataset|2022-08-29|תחנות תחבורה ציבורית|ministry_of_transport|No|Quarter|1|4|--|bidata@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|קובץ עזר לשיוך מרחבי של תחנות אוטובוס, רק"ל ורכבת ישראל.השיוכים הקיימים במאגר הם למטרופולין, שטח ישוב \ מועצה אזורית, שכונה ואזור סטטיסטי. בנוסף הקובץ מכיל גם קואורדינטות מיקום התחנה בפורמט WGS84 לביצוע ניתוחים גיאוגרפים שונים.
308|0|busterminal|dataset|2021-03-07|מסופי אוטובוסים|ministry_of_transport|No|NA|4|7|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|מסופי אוטובוסים קיימים
309|0|bus_terminal_fcl|dataset|2022-06-02|מסופים ומתקני תשתית תח"צ|ministry_of_transport|No|NA|4|5|--|geo@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|שכבה המציגה שטחי מתקני תשתית קיימים לתח"צ באטובוסים ומכילה נתונים נבחרים של מיקום, פעילות ותכולה בכל מתקן
310|0|bus_terminal_strat|dataset|2020-11-26|תכנית אב למסופי אוטובוסים|ministry_of_transport|Yes|NotConstant|4|7|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|Other (Open)|מתקנים, קיימים ומתוכננים, הנכללים בתוכנית האסטרטגית למתקני תשתית לתפעול תחבורה ציבורית באוטובוסים במטרופולין תל אביב
311|0|calculatorforentrepreneur|dataset|2021-02-09|מחשבון עלויות ליזם|moital|No|NotConstant|1|3|--|israel.vaks@economy.gov.il|משרד הכלכלה והתעשייה|other-open|Other (Open)|מחשבון העלויות ליזם מיועד לסייע בחישוב ראשוני של רוב העלויות הכרוכות בהקמת מפעל/בית מלאכה עבור יזמים באזורי עדיפות לאומית כפי שנקבע מעת לעת על ידי ממשלת ישראל.
312|0|callkorekitotvatikim|dataset|2022-01-05|קול קורא - כיתות ותיקים|socialequality|No|NA|1|6|--|andreib@mse.gov.il|המשרד לשוויון חברתי|other-open|Other (Open)|המשרד לשוויון חברתי, בתיאום עם משרד החינוך ובאמצעות הרשויות המקומיות, מבקש לקיים תוכנית "כיתות ותיקים" שבמסגרתה נפתחות כיתות לימוד עבור אזרחים ותיקים בשטחם של בתי ספר תיכונים וחטיבות ביניים בכל רחבי הארץ. האזרחים הוותיקים לומדים בכיתה נפרדת וזאת במהלך שעות הפעילות הרגילות של בית הספר. לצד זה, מתנדבים האזרחים הוותיקים בתחומים שונים במסגרת בית הספר.מטרת התוכנית היא לקיים מסגרות לימוד והעשרה לאזרחים ותיקים תוך חיזוק הקשר הבין דורי שבין תלמידי בתי ספר לבין האזרחים הוותיקים.
313|0|callkoreyoung|dataset|2022-01-05|קול קורא - רשות הצעירים - תכנית למעורבות חברתית במרכזי צעירים|socialequality|No|NA|1|13|--|andreib@mse.gov.il|המשרד לשוויון חברתי|other-open|Other (Open)|בשנת 2016 פרסם המשרד לשוויון חברתי קול קורא לרשויות המקומיות לפעילות מעורבות חברתית במרכזי צעירים. לקול הקורא נענו 134 רשויות, במחציתן קיים מרכז צעירים ומחציתן מעוניינות להקים מרכז חדש. במסגרת הקול הקורא מתקצב המשרד לשוויון חברתי רכז ופעילות מעורבות חברתית במרכזי צעירים, ותקציב נוסף להצטיידות להקמת מרכזי צעירים ברשויות בהן עדיין לא פועל כזה, אשר יעמידו מבנה ייעודי לטובת ההקמה. במסגרת הקול הקורא צפוי המשרד לתקצב בשנת 2019 בכ-20,000,000 ₪ פעילות מעורבות חברתית והצטיידות בעשרות מרכזי צעירים ברחבי הארץ, ותיקים וחדשים.
314|0|cannabis_certified_physicians|dataset|2022-06-30|רופאים המוסמכים להנפיק רישיון לקנביס רפואי|ministry-health|Yes|NA|1|5|--|Call.Habriut@MOH.GOV.IL|משרד הבריאות|other-open|Other (Open)|רשימת הרופאים המומחים אשר מוסמכים להנפיק רישיון להחזקה ושימוש בקנביס רפואי. רשימה זו עשוייה להתעדכן מעת לעת. ברשימה להלן ייתכן וישנם רופאים אשר טרם החלו את פעילותם בשל סיבות מנהלתיות, יש לברר מראש טרם מימוש התור.
315|0|cannabis_licensed_workers|dataset|2022-09-01|בעלי רישיון עיסוק בקנביס|ministry-health|No|NotConstant|1|3|--|Call.Habriut@MOH.GOV.IL|משרד הבריאות|other-open|אחר (פתוח)|להלן רשימות הגופים בעלי רישיון מהיק"ר לעיסוק בתחום הקנביס לשימוש רפואי ולמחקר, על פי תחום ונושא הפעילות. רשימה זו עשוייה להתעדכן מעת לעת.בהתקשרות בין שני גופים בעלי רישיון, מוטלת האחריות על כל אחד מצדדי ההתקשרות לוודא קיום רישיון מהיק"ר לעיסוק בתחום הקנביס בתוקף, של הגוף האחר.
316|0|cannabis_pharmacies|dataset|2022-09-04|בתי מרקחת המורשים למכור קנביס רפואי|ministry-health|Yes|NotConstant|1|2|--|Call.Habriut@MOH.GOV.IL|משרד הבריאות|other-open|אחר (פתוח)|מטופלים עם רישיון יכולים לרכוש מוצרי קנביס רפואי בבתי מרקחת המורשים למכור אותם.
317|0|carbon-monoxide|dataset|2020-06-11|פחמן חד חמצני|ministry_of_the_environment|No|NA|1|5|--|TanyaT@sviva.gov.il|המשרד להגנת הסביבה|||מצאי הפליטות וההעברות הוא מאגר מידע המציג את כמויות החומרים המזהמים או הפסולת הנפלטים או מועברים לסביבה ממקורות שונים, ביניהם: תחבורה, שימושים ביתיים, מחצבות, יערות קק"ל וכן ממקורות תעשייתיים שלא נכללים במפל"ס. המצאי נועד לספק מידע משלים לעניין הפליטות וההעברות בישראל, בנוסף לדיווחי המפעלים למפל"ס, ולאפשר יצירת תמונה שלמה וכוללת של פליטות והעברות של חומרים מזהמים ופסולת בישראל.
