n|name|type|date|title|org|geo|freq|resources|tags|author|email|orgh|licID|lictitle|notes
199|961|dataset|2023-03-21|תקציב וביצוע 2014|mof|No|NA|1|1|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
200|969|dataset|2023-03-21|תקציב וביצוע 2015|mof|No|NA|1|2|משרד האוצר|talid@mof.gov.il|משרד האוצר|||במאגר זה תוכלו למצוא מידע אודות תקציב 2015
201|982|dataset|2023-03-21|קבצי תקציב וביצוע מעודכנים לשנים 2005-2014, כולל מיון כלכלי|mof|No|NotConstant|10|2|--|talid@mof.gov.il|משרד האוצר|other-open|Other (Open)|מאגר המכיל קבצי תקציב וביצוע לשנים 2005-2014 כולל מיון כלכלי.
202|983|dataset|2023-03-21|סנקציות על פי חוק כפיית ציות|rabinical_court|No|NA|1|3|בתי דין רבניים|uri@rbc.gov.il|בתי הדין הרבניים|||
203|991|dataset|2023-03-21|תקציב מקורי 2016 ברמת תקנה|mof|No|NA|1|2|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
204|a2016|dataset|2023-03-21|תקציב מקורי ומאושר 2016|mof|No|NA|1|2|--|mluria@mof.gov.il|משרד האוצר|||תקציב מקורי ומאושר לשנת 2016 ברמת תקנות
205|a3|dataset|2024-09-04|database of questions and answers for a dedicated theoretical test for electric bicycle vehicles|ministry_of_transport|No|NoUpdate|1|3|--|bidata@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|עדכון 04.09.2024
206|a3_aa|dataset|2024-09-01|מאגר השאלות והתשובות הרשמי למבחן עיוני ייעודי לרוכבי אופניים חשמליים (A3) בשפה האמהרית|ministry_of_transport|No|NotConstant|1|3|--|bidata@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|פרסום 01.09.2024 שפה האמהרית
207|a3-fr|dataset|2024-09-09|מאגר השאלות והתשובות הרשמי למבחן עיוני ייעודי לרוכבי אופניים חשמליים (A3) בשפה הצרפתית|ministry_of_transport|No|NotConstant|1|4|--|bidata@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|עבכון 04.09.2024 שפה הצרפתית
208|a3-ru|dataset|2024-09-04|מאגר השאלות והתשובות הרשמי למבחן עיוני ייעודי לרוכבי אופניים חשמליים (A3) בשפה הרוסית|ministry_of_transport|No|NotConstant|1|4|--|bidata@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|עדכון 04.09.2024 שפה הרוסית
209|a3_sp|dataset|2024-09-01|מאגר השאלות והתשובות הרשמי למבחן עיוני ייעודי לרוכבי אופניים חשמליים (A3) בשפה הספרדית|ministry_of_transport|No|NotConstant|1|3|--|bidata@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|פרסום 01.09.2024 שפה הספרדית
210|academic|dataset|2023-07-09|מוסדות אקדמאיים|israel_mapping_center|No|NoUpdate|1|2|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|other-open|Other (Open)|שכבת מוסדות אקדמאיים
211|accessibilityorders|dataset|2024-10-04|תיקי פיקוח חדשים עם תוצאה תקינה - נציבות שוויון זכויות לאנשים עם מוגבלות|ministry_of_justice|No|Day|2|2|--|yehudakat@justice.gov.il|משרד המשפטים|other-open|אחר (פתוח)|רשימת הפיקוחים שבהם לא נמצאו ליקויי נגישות במהלך הפיקוח. מפקחי הנציבות ביקרו במקומות המפורטים ברשימה ובדקו בהם את ביצוע ההתאמות על פי תקנות הנגישות. בבדיקה זו לא נמצאו ליקויים או שנמצאו ליקויים מעטים. הפרסום נכון ליום ביצוע הבקרה ומתייחס רק לנושאים שנבדקו.
212|accidents_municipal|dataset|2024-07-31|תאונות דרכים לפי רשות מוניציפלית|ministry_of_transport|No|NotConstant|4|5|--|geo@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|תאונות דרכים, שנחקרו על ידי המשטרה, ונאספו על ידי הלמ"ס (מאגרים: ת.ד. מורחב וכללי), בחמשת השנים האחרונות. מיפוי בכל הרמות וסכימה לפי שטח רשות מוניציפלית.
213|accid_taz|dataset|2024-07-31|תאונות דרכים לפי אזורי תנועה|ministry_of_transport|No|NotConstant|4|5|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|תאונות דרכים, שנחקרו על ידי המשטרה, ונאספו על ידי הלמ"ס (מאגר ת.ד. מורחב), בחמשת השנים האחרונות. מיפוי ברמה מדויקת וברמת מרכז אבני ק"מ וסכימה לפי אזורי תנועה מתוך המודל הארצי לתחבורה.
214|acquifer|dataset|2024-03-17|רשימת אקוויפרים|water_authority|No|Year|1|4|--|Inf_datagov@water.gov.il|הרשות הממשלתית למים ולביוב|cc-by|Creative Commons Attribution|רשימת אקוויפרים
215|addresses-br7|dataset|2024-04-14|מספרי בתים ושמות הרחובות|beer-sheva|No|Quarter|16|1|--|nati@br7.org.il|עיריית באר שבע|other-open|אחר (פתוח)|סימון נקודתי של מספר הבית, שם הרחוב, וקוד רחוב מספרי של הלשכה המרכזית לסטטיסטיקה
216|afq|dataset|2023-03-21|תצלום אויר 2015 2 מטר - גליון אפיקים|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
217|aidtools|dataset|2023-03-21|כלי סיוע של משרד הכלכלה והתעשייה|moital|No|NotConstant|1|2|--|israel.vaks@economy.gov.il|משרד הכלכלה והתעשייה|other-open|Other (Open)|מערך כלי סיוע לתעשייה נועד לסייע לחברות הישראליות לחזק את יכולותיהן השיווקיות בשוק הבין-לאומי בעזרת מספר תכניות מימוניות ייעודיות. מטרת התכניות - לתמוך בהוצאות השיווק הבין-לאומי ולהעניק ליווי מקצועי לחברות הרוצות להשקיע בשיווק בין-לאומי, וזאת במטרה להגדיל את הייצוא.
218|aircraft_data_il|dataset|2024-10-03|נתוני כלי טיס ישראליים|ministry_of_transport|No|Month|1|3|--|bidata@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|מאגר זה מכיל פרטים טכניים אודות כלי טיס ישראליים פעילים לפי תעודת כושר טיסה בתוקף. הפרסום אינו מתבסס על פנקס הרישום. הנתונים המופיעים במאגר: לאומיות, שם דגם, שם יצרן, מספר סידורי, שנת ייצור, משקל המראה.
219|airport|dataset|2024-08-01|שדות תעופה אזרחיים|ministry_of_transport|No|NotConstant|4|6|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|תחומי הגבלות בניה ושימושי קרקע של שדות תעופה אזרחיים בפריסה ארצית.מקור: רשות התעופה האזרחית
220|air-stations|dataset|2024-04-01|תחנות ניטור איכות אוויר|ministry_of_the_environment|Yes|NotConstant|2|2|--|ginott@sviva.gov.il|המשרד להגנת הסביבה|||רשימת תחנות ניטור איכות אוויר בישראל. הרשימה כוללת מידע כגון שם חדש וישן של התחנה, סוג התחנה, גוף מנטר, מיקום התחנה והפרמטרים הנמדדים בה.
221|airstrip|dataset|2024-02-13|מנחתים|ministry_of_transport|No|NotConstant|5|5|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|Other (Open)|תחומי הגבלת בניה של מנחתים בפריסה ארצית
222|alhakav|dataset|2024-04-18|מרכזי שירות ומידע על-הקו|ministry_of_transport|No|Year|1|1|--|lariny@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|רשימת מרכזי שירות ומידע הממוקמים ברחבי הארץ ומספקים לציבור הנוסעים בתחבורה הציבורית מגוון שירותים לכרטיס הרב-קו, הנוגעים לכלל אמצעי התחבורה הציבורית.הפורמט של הקובץ AllHakav-ChargingRavKav.xlsx מוגדר בסעיף 8 בקובץ ההסבר שבקישור: https://www.gov.il/he/departments/general/gtfs_general_transit_feed_specifications משרד התחבורה עובר לעדכון של הקובץ AllHakav-ChargingRavKav.xlsx בלבד. שני הקבצים הנוספים לא יעודכנו יותר, ובעתיד ימחקו.
223|aluyot-pituach|dataset|2024-10-01|עלויות פיתוח בבניה העירונית|ministry_of_housing|No|Month|1|2|--|datagov@moch.gov.il|משרד הבינוי והשיכון|cc-by|Creative Commons Attribution|המאגר מכיל את נתוני עלויות הפיתוח בבניה העירונית, עבור מכרזים פתוחים שעלויותיהם אושרו על ידי משרד הבינוי והשיכון, והמידע הועבר לרשות מקרקעי ישראל (רמ"י) לצורך פרסום.
224|ambrosia|dataset|2023-03-21|מוקדי אמברוסיה|ministry_of_the_environment|No|NA|1|4|--|pniot@sviva.gov.il|המשרד להגנת הסביבה|||המשרד להגנת הסביבה, משרד החקלאות, רשות הטבע והגנים, רשויות ניקוז ורשויות נחלים נערכו במשותף לבלימת המשך התפשטות האמברוסיה המכונסת. מין פולש זה גורם לנזקים לחקלאות, לבתי גידול לחים, לתשתיות, לגינות ופארקים ועלול אף לגרום לאלרגיות אצל בני האדם. בכל מקרה שנצפתה אמברוסיה מכונסת יש לדווח על כך למוקד המידע של המשרד להגנת הסביבה בטלפון: *6911
225|amount_monthly_closures_vehicles|dataset|2024-10-03|כמות כלי רכב חדשים בעלי קוד דגם העולים על הכביש בכל חודש|ministry_of_transport|No|Month|1|4|--|bidata@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|מאגר זה מכיל פרטים אודות כמות כלי רכב חדשים בעלי קוד דגם שעלו על הכביש בכל חודש משנת 2018 ועד החודש הקלנדרי הקודם. המאגר מתעדכן בכל חודש עם הנתונים הבאים: סוג דגם, קוד תוצר, קוד דגם, דגם, כינוי מסחרי, שנה וחודש סגירה, כמות רכבים.
226|antennaactive|dataset|2024-10-03|אנטנות סלולריות פעילות|ministry_of_the_environment|No|Month|1|6|--|arielt@sviva.gov.il|המשרד להגנת הסביבה|||מוקדים לשידורים סלולריים פעילים של החברות: סלקום, פלאפון,  PHI.
227|antenna_hakama|dataset|2024-10-03|אנטנות סלולריות בהקמה|ministry_of_the_environment|No|NotConstant|1|6|--|arielt@sviva.gov.il|המשרד להגנת הסביבה|other-open|אחר (פתוח)|מוקדים לשידורים סלולריים בהקמה של החברות: סלקום, פלאפון, PHI. לפרטים נוספים: https://www.gov.il/he/departments/guides/radio_frequency_radiation
228|ap|dataset|2023-03-21|חשיפה לרעש משדות תעופה|ministry_of_the_environment|Yes|Year|1|1|--|ginott@sviva.gov.il|המשרד להגנת הסביבה|cc-by|Creative Commons Attribution|אזורים שונים ברחבי הארץ החשופים לרעש משדות תעופה אזרחיים וצבאיים. נתונים על כל אזור: מקור הרעש, שטח הרעש החשוף לרעש בדונמים, מפלס הרעש [מה שמכונה dB(A) Ldn] ביום ובלילה. הנתונים נכונים ל 2019
229|applying-to-social-services-departments|dataset|2023-08-07|מאגר נתוני יסוד|ministry_of_social_affairs|No|Year|14|1|--|apiautomolsa@molsa.gov.il|משרד הרווחה והביטחון החברתי|other-open|Other (Open)|המאגר מכיל מידע על מקבלי השירות במחלקות לשירותים חברתיים ברשויות המקומיות.במידע כלולים נתוני רקע על המשפחה ועל הטיפול בה (ברמת "התיק") וכן נתונים על כל פרט במשפחה.ביניהם נתונים דמוגרפים וחברתיים-כללים, נזקקויות (הסיבות שבגללן יש צורך בסיוע והתערבות), מצב בריאות, תעסוקה, ארץ לידה, תאריך עליה ועוד.
230|approved-items-by-personal-import|dataset|2024-05-21|ציוד אלחוטי - פריטים ביבוא אישי שקיבלו אישור ממשרד התקשורת|tikshoret|No|Quarter|2|6|--|baskisy@moc.gov.il|משרד התקשורת|cc-by|Creative Commons Attribution|רשימת פריטים שקיבלו אישור מיוחד  מממשרד התקשורת. הרשימה המחייבת של מכשירים אלחוטיים המותרים בייבוא אישי קבועה בחקיקה. הרשימה המפורטת באתר היא אינה הרשימה המחייבת.
231|aquifer_level_history|dataset|2023-03-21|מפלס מי תהום היסטורי|water_authority|No|NoUpdate|1|6|--|Inf_datagov@water.gov.il|הרשות הממשלתית למים ולביוב|other-open|Other (Open)|שכבת מפלסי מי תהום באקוויפר החוף שנמדדו בשנת 1933. מפלסים אלו מייצגים את המפלסים ההיסטוריים טרם ירידת המפלסים בעקבות הפקת מים.
232|aquifer-sensitivity|dataset|2023-03-21|אזורי סכנה למקורות מים מזיהום דלק|ministry_of_the_environment|No|NA|1|5|--|TanyaT@sviva.gov.il|המשרד להגנת הסביבה|||אזורי סכנה למקורות מים מזיהום דלק
233|ararim|dataset|2024-10-04|מאגר החלטות בית הדין לעררים|ministry_of_justice|No|Day|2|2|--|yehudakat@justice.gov.il|משרד המשפטים|cc-by|Creative Commons Attribution|המאגר מכיל החלטות של בתי הדין לעררים
234|arb|dataset|2023-03-21|תצלום אויר 2015 2 מטר - גליון ארבל|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
235|archivesfreedomofinformationforzover|dataset|2023-03-21|מאגר חופש המידע (ארכיון)|ministry_of_the_environment|No|NoUpdate|1|1|--|baruchb@sviva.gov.il|המשרד להגנת הסביבה|other-open|Other (Open)|מאגר זה מכיל נתונים היסטוריים של נושאים סביבתיים, בדגש על חומרים שנפלטו, נשפכו וסולקו לסביבה, וכן תוצאות של מדידות רעש, ריח וקרינה שלא ברשות היחיד. המידע המפורסם בחלקו מעובד ובחלקו גולמי.
236|archivespermissiontostreamforzover|dataset|2023-03-21|מאגר צווי הרשאה להזרמה לנחלים (ארכיון)|ministry_of_the_environment|No|NoUpdate|1|2|--|baruchb@sviva.gov.il|המשרד להגנת הסביבה|other-open|Other (Open)|מאגר זה מכיל נתונים היסטוריים (עד 2018). הנתונים העדכניים שמורים במאגר המידע מאגר צווי הרשאה להזרמה לנחלים
237|archivespermitflowingtoseaforzover-csv|dataset|2023-03-21|מאגר היתרי הזרמה הטלה לים (ארכיון)|ministry_of_the_environment|No|NoUpdate|1|1|--|baruchb@sviva.gov.il|המשרד להגנת הסביבה|other-open|Other (Open)|מאגר זה מכיל נתונים היסטוריים של ההיתרים הניתנים על ידי הוועדה למתן היתרי הזרמה לים בראשות המשרד להגנת הסביבה - היתרים בתוקף והיתרים ישנים.
238|archives-yco|dataset|2023-03-21|ארכיון פרשת ילדי תימן ואחרים|archives|No|NA|4|5|--|ronit@archives.gov.il|ארכיון המדינה|||פרסום זה מציג את רשימת הנעדרים, שעניינם נחקר לאורך השנים, בשלוש ועדות חקירה. בקובץ קישורים לדוחות המלאים של ועדות החקירה  וקישורים לאתר ארכיון המדינה לחיפוש תיקים ומסמכים בעניינו של כל נחקר. בנוסף, לכל נחקר הוספנו קישור פרטני לממצאי כל ועדה שעניינו של הילד נחקר בה.
239|ard|dataset|2023-03-21|תצלום אויר 2015 2 מטר - גליון ערד|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
240|area_authority|dataset|2024-07-16|רשות תמרור מתחמים|ministry_of_transport|No|NotConstant|4|0|--|geo@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|השכבה מציגה מתחמים אשר סמכות רשות התמרור המקומית בהם הואצלה על ידי המפקח הארצי על התעבורה לגוף שונה מהרשות המוניציפאלית שבתחומה נמצא המתחם
241|arl|dataset|2023-03-21|תצלום אויר 2015 2 מטר - גליון אריאל|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
242|arrivaltostationdayandhours|dataset|2024-09-01|מאגר זמני הגעה לתחנה VM ברמת יום ושעה|ministry_of_transport|No|Month|4|4|--|bidata@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|המאגר מציג את ממוצע זמני ההגעה וסטיית התקן בדק' לכל תחנה קו כיוון וחלופה, מהתחנה הראשונה לפי  יום ושעת יציאת הרכב המתוכננת ברישוי בחודש. הנתונים המוצגים הינם ממוצעים חודשיים של זמני ההגעה המשוערים של קווי השירות באוטובוסים לתחנות הביניים במסלול הנסיעה של הקו, וחושבו בהסתמך על נתונים חיצוניים המתקבלים על בסיס מערכות האיכון ובהתחשב במקורות חיצוניים נוספים כגון מאפייני הדרך והנסיעה.משרד התחבורה אינו חב באחריות כלשהי ביחס למידע זה, לרבות תקינותו, דיוקו או שלמותו, והסתמכות על המידע הינה באחריות עושה השימוש במידע בלבד. המשרד לא יישא באחריות כלשהי בגין כל נזק מכל מין וסוג שהוא, ככל שייגרם, במישרין או בעקיפין, כתוצאה משימוש במידע או הסתמכות עליו.
243|arrivaltostationhours|dataset|2024-09-01|זמני הגעה לתחנה VM ברמת שעה|ministry_of_transport|No|Month|4|4|--|bidata@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|המאגר מציג את ממוצע זמני ההגעה וסטיית התקן בדק' לכל תחנה קו כיוון וחלופה, מהתחנה הראשונה לפי שעת יציאת הרכב המתוכננת ברישוי בחודש. הנתונים המוצגים הינם ממוצעים חודשיים של זמני ההגעה המשוערים של קווי השירות באוטובוסים לתחנות הביניים במסלול הנסיעה של הקו, וחושבו בהסתמך על נתונים חיצוניים המתקבלים על בסיס מערכות האיכון ובהתחשב במקורות חיצוניים נוספים כגון מאפייני הדרך והנסיעה.משרד התחבורה אינו חב באחריות כלשהי ביחס למידע זה, לרבות תקינותו, דיוקו או שלמותו, והסתמכות על המידע הינה באחריות עושה השימוש במידע בלבד. המשרד לא יישא באחריות כלשהי בגין כל נזק מכל מין וסוג שהוא, ככל שייגרם, במישרין או בעקיפין, כתוצאה משימוש במידע או הסתמכות עליו.
244|asbest|dataset|2024-10-03|מרשם העוסקים באסבסט|ministry_of_the_environment|No|Times in day|1|6|--|arielt@sviva.gov.il|המשרד להגנת הסביבה|other-open|אחר (פתוח)|מאגר מידע המכיל פרטים של בעלי רישיונות אשר עוסקים בתחום האסבסט. במאגר תוכלו למצוא את פרטיהם של קבלנים, מפקחים, סוקרים ועובדים אחראים בתחום האסבסט.ניתן לשלוף גם באתר המשרד להגנת הסביבה:https://www.gov.il/he/Departments/DynamicCollectors/asbest_list
245|asbest-permit-03-2016|dataset|2023-03-21|היתרים לעבודות אסבסט|ministry_of_the_environment|No|NA|1|4|--|alexey@sviva.gov.il|המשרד להגנת הסביבה|||המאגר מכיל בקשות להיתרים עבור עבודות אסבסט מרבעון שני של 2015 ועד רבעון ראשון של 2016 כולל. המאגר מכיל איזור בו יבוצעו העבודות, סוג האסבסט הנמצא וכמויות האסבסט אשר יפונו.
246|asbestsamplinganalysis|dataset|2024-08-20|מרשם מעבדות דיגום ואנליזה אסבסט|ministry_of_the_environment|No|NotConstant|1|5|--|chayg@sviva.gov.il|המשרד להגנת הסביבה|||מרשם מעבדות אנליזה ופרטיהן, מעבדות דוגמות ופרטיהן, דוגמי אסבסט והכרה במעבדות חוץ (לפי סעיף 33 בחוק למניעת מפגעי אסבסט ואבק מזיק, התשע"א-2011).1. מעבדות המבצעות דגימות אוויר לבדיקת נוכחות סיבי אסבסט.2. מעבדות המבצעות אנליזה באמצעות מיקרוסקופ לבדיקת ריכוז סיבי האסבסט מדגימת אוויר שניטלה על ידי הדוגם באתר העבודה.3. דוגמיםהמידע מצוי גם באתר המשרד להגנת הסביבה :https://www.gov.il/he/Departments/Guides/find_licensed_asbestos_workers
247|asbest-waste-sites|dataset|2023-03-21|אתרי פסולת אסבסט|ministry_of_the_environment|No|NotConstant|1|5|--|arielt@sviva.gov.il|המשרד להגנת הסביבה|||מאגר זה מכיל את כלל אתרי הפסולת בעלי רישיון לעבוד עם אסבסט. המאגר כולל את פרטי אתר הפסולת, סוג האסבסט בו מטפל ותוקף הרישיון.לפי סעיף 33 בחוק למניעת מפגעי אסבסט ואבק מזיק, התשע"א-2011.
248|asd|dataset|2023-03-21|תצלום אויר 2015 2 מטר - גליון אשדוד|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
249|asq|dataset|2023-03-21|תצלום אויר 2015 2 מטר - גליון אשקלון|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
250|assb122019|dataset|2023-03-21|תקציב מול ביצוע ברוטו, כולל מפעלים עסקיים לשנת 2019|mof|No|NA|1|1|--|pniot@mof.gov.il|משרד האוצר|other-open|Other (Open)|קובץ האקסל המצורף הופק מהמערכות התפעוליות ומהווה תמונת מצב לנתוני התקציב וביצועו בשנת 2019 ברמת פירוט של תקנה תקציבית.
251|assb32018|dataset|2023-03-21|ביצוע תקציב על שינוייו מרץ 2018 לא מבוקר|mof|No|NA|1|1|--|pniot@mof.gov.il|משרד האוצר|||ביצוע תקציב על שינוייו מרץ 2018 לא מבוקר. דוח זה הופק מתוך המערכת התפעולית ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לענין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2018.
252|assb32019|dataset|2023-03-21|ביצוע תקציב על שינוייו מרץ 2019 לא מבוקר|mof|No|NA|1|1|--|pniot@mof.gov.il|משרד האוצר|cc-by|Creative Commons Attribution|דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2019.
253|assb32020|dataset|2023-03-21|ביצוע תקציב על שינוייו  31 במרץ 2020 -  לא מבוקר|mof|No|NA|1|1|--|pniot@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2020.
254|assb62017|dataset|2023-03-21|ביצוע תקציב על שינוייו יוני 2017 לא מבוקר|mof|No|NA|1|1|--|pniot@mof.gov.il|משרד האוצר|||ביצוע תקציב על שינוייו יוני 2017 לא מבוקר. דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2017.
255|assb62018|dataset|2023-03-21|ביצוע תקציב על שינוייו יוני 2018 לא מבוקר|mof|No|NA|1|1|--|pniot@mof.gov.il|משרד האוצר|cc-by|Creative Commons Attribution|ביצוע תקציב על שינוייו יוני 2018 לא מבוקר. דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2018
256|assb62020|dataset|2023-03-21|אומדן ביצוע תקציב על שינוייו  30 ביוני 2020 -  לא מבוקר|mof|No|NA|1|1|--|pniot@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2020.
257|assb92017|dataset|2023-03-21|ביצוע תקציב על שינוייו ספטמבר 2017 לא מבוקר|mof|No|NA|1|1|--|pniot@mof.gov.il|משרד האוצר|||ביצוע תקציב על שינוייו ספטמבר 2017 לא מבוקר. דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2017
258|assb92018|dataset|2023-03-21|ביצוע תקציב על שינוייו ספטמבר 2018 לא מבוקר|mof|No|NA|1|1|--|pniot@mof.gov.il|משרד האוצר|cc-by|Creative Commons Attribution|ביצוע תקציב על שינוייו ספטמבר 2018 לא מבוקר. דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2018
259|assb92019|dataset|2023-03-21|ביצוע תקציב על שינוייו ספטמבר 2019 לא מבוקר|mof|No|NA|1|1|--|shimritl@cio.gov.il|משרד האוצר|cc-by|Creative Commons Attribution|ביצוע תקציב על שינוייו ספטמבר 2019 לא מבוקר. דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2019
260|assb92020|dataset|2023-03-21|אומדן ביצוע ליום 30 בספטמבר 2020 לא מבוקר|mof|No|NA|1|1|--|pniot@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2020.
261|assistance-and-intervention|dataset|2024-05-02|תיק התערבות|ministry_of_social_affairs|No|Year|4|2|--|apiautomolsa@molsa.gov.il|משרד הרווחה והביטחון החברתי|other-open|אחר (פתוח)|מאגר נתונים מתוך מערכת תיק ההתערבות, המחליף את מאגר נתוני יסוד החל מינואר 2021.המאגר מכיל מידע על מקבלי השירות במחלקות לשירותים חברתיים ברשויות המקומיות.במידע כלולים נתוני רקע על המשפחה ועל הטיפול בה (ברמת "התיק") וכן נתונים על כל פרט במשפחה. כולל נתונים דמוגרפים וחברתיים-כלכליים (נזקקויות), הסיבות שבגללן קיים צורך בסיוע והתערבות (מצב בריאות, תעסוקה, ארץ לידה, תאריך עליה ועוד).
262|atarim-leumim|dataset|2023-03-21|אתרים לאומיים|ministry_of_the_environment|No|NA|1|1|--|TanyaT@sviva.gov.il|המשרד להגנת הסביבה|||אתרים שהוכרזו על ידי המדינה כ"אתרים בעלי חשיבות לאומית היסטורית להתפתחות הישוב בארץ".
263|atirot|dataset|2023-03-21|היחידה לחופש המידע - מאגר עתירות|ministry_of_justice|No|NotConstant|2|0|--|yehudakat@justice.gov.il|משרד המשפטים|other-open|Other (Open)|קובץ הכולל את כל עתירות חופש המידע שהוגשו לבתי המשפט המחוזיים בנושא חופש המידע בשנת 2021 לרבות מספר הליך, שם המשיב ועילת העתירה.
264|atl|dataset|2023-03-21|תצלום אויר 2015 2 מטר - גליון עתלית|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
265|audit-cities|dataset|2023-05-24|דוחות כספיים מבוקרים עיריות|interior_affairs|No|Year|9|4|--|berouria@moin.gov.il|משרד הפנים|other-open|Other (Open)|דוחות כספיים מבוקרים של הרשויות המקומיות (עיריות) המבוצעים על-ידי אגף בכיר לביקורת ברשויות - משרד הפנים.
