n|j|name|type|date|title|org|geo|freq|resources|tags|author|email|orgh|licID|lictitle|notes
175|0|864|dataset|2023-01-29|אזורי שיפוט (בית דין ליישוב)|rabinical_court|No|NotConstant|1|4|--|uri@rbc.gov.il|בתי הדין הרבניים|||הטבלה מסבירה לאיזה בית הדין יש לפנות לפי עיר מגורים
176|0|865|dataset|2020-06-08|סוגי תיקים שנפתחו לפי שנים|rabinical_court|No|NA|1|4|בתי הדין הרבניים|uri@rbc.gov.il|בתי הדין הרבניים|||
177|0|926|dataset|2020-06-11|שדות תעופה אזרחיים|israel_mapping_center|No|NA|1|5|המרכז למיפוי ישראל|hadarca@int.gov.il|המרכז למיפוי ישראל|||שדות תעופה אזרחיים
178|0|928|dataset|2020-06-11|שכבת נמלי פריקה והטענה|israel_mapping_center|No|NA|1|5|המרכז למיפוי ישראל|hadarca@int.gov.il|המרכז למיפוי ישראל|||שכבת נמלי ים הכוללים פריקה והטענה כולל קואורדינטות
179|0|930|dataset|2020-06-11|שכבת נמלים ימיים|israel_mapping_center|No|NA|2|4|המרכז למיפוי ישראל|hadarca@int.gov.il|המרכז למיפוי ישראל|||שכבת נמלים ימיים.
180|0|931|dataset|2020-06-11|שכבת דרכים|israel_mapping_center|No|NA|1|3|המרכז למיפוי ישראל|hadarca@int.gov.il|המרכז למיפוי ישראל|||שכבת דרכים כולל קואורדינטות
181|0|932|dataset|2020-06-11|שכבת מסילות ברזל|israel_mapping_center|No|NA|1|2|המרכז למיפוי ישראל|hadarca@int.gov.il|המרכז למיפוי ישראל|||שכבת מסילות ברזל כולל קואורדינטות
182|0|933|dataset|2020-06-11|שכבת נחלים|israel_mapping_center|No|NA|1|5|המרכז למיפוי ישראל|hadarca@int.gov.il|המרכז למיפוי ישראל|||שכבת נחלים
183|0|934|dataset|2020-06-11|רשימת קרנות נאמנות|isa|No|NA|1|2|רשות ניירות הערך|YaelT@isa.gov.il|רשות ניירות ערך|||השדות המפורטים עבור כל קרן:מספר נייר בבורסה (id)שם קרן בעברית (name)שם קרן באנגלית (nameEnglish)סטטוס (status)שם מנהל קרן (managerName)שם נאמן לקרן (trusteeName)שכר מנהל (managerSalary)שכר נאמן (trusteeSalary)מסלול מס (taxPath)סיווג הקרן - כותרת על (fundClass1)סיווג הקרן - כותרת ראשית (fundClass2)סיווג הקרן - סכותרת משנית (fundClass3)פרופיל חשיפה של הקרן (exposureProfile)יחידות הקרן ניתנות - לפדיון ביום א' (canBeSoldOnSunday)קרן ממונפת (isLeverageFund)קרן מחקה (isIndexFund)קרן חשיפה הפוכה (isOppositeExposureFund)קרן מועדים קבועים (isConstantTimeFund)מטבע מחיר (costCurrency)מטבע עיקרי (mainCurrency)כתובת (address)טלפון (phone)פקס (fax)דואר אלקטרוני (email)סוג קרן (fundType)
184|0|935|dataset|2020-06-08|רשימת מנהלי קרנות נאמנות|isa|No|NA|1|2|רשות ניירות הערך|YaelT@isa.gov.il|רשות ניירות ערך|||השדות המפורטים עבור כל מנהל קרן:מספר ברשם החברות (id)שם מנהל (name)כתובת (address)טלפון (phone)פקס (fax)דוא"ל (email)אתר חברה (url)
185|0|943|dataset|2020-09-02|בתי כנסת בחיפה|haifa|No|NA|1|5|עיריית חיפה|yairt@haifa.muni.il|עיריית חיפה|||רשימת בתי כנסת בחיפה. מתעדכנת בתדירות חודשית.
186|0|944|dataset|2020-09-01|רחובות בחיפה לפי תתי רובע ואזורים סטטיסטיים|haifa|No|NA|1|5|עיריית חיפה|yairt@haifa.muni.il|עיריית חיפה|||רשימת רחובות בחיפה לפי תתי רובע ואזורים סטטיסטיים. מתעדכנת בתדירות חודשית.
187|0|945|dataset|2020-09-01|מרכזים קהילתיים בחיפה|haifa|No|NA|1|1|עיריית חיפה|yairt@haifa.muni.il|עיריית חיפה|||רשימת מרכזים קהילתיים בחיפה. מתעדכנת בתדירות חודשית.
188|0|946|dataset|2020-09-01|גני ילדים עירוניים בחיפה|haifa|No|NA|1|2|עיריית חיפה|yairt@haifa.muni.il|עיריית חיפה|||רשימת גני ילדים עירוניים בחיפה. מתעדכנת בתדירות חודשית.
189|0|947|dataset|2020-09-02|בתי מרקחת בחיפה|haifa|No|NA|1|2|עיריית חיפה|yairt@haifa.muni.il|עיריית חיפה|||רשימת בתי מרקחת בחיפה. מתעדכנת בתדירות חודשית.
190|0|953|dataset|2020-06-11|תקציב מאושר 2014|mof|No|NA|1|1|משרד האוצר|talid@mof.gov.il|משרד האוצר|||תקציב מאושר 2014
191|0|958|dataset|2020-06-11|נתוני אוכלוסיה בישובים בהם מעל 2000 תושבים|social_security|No|NA|1|1|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר זה מכיל נתוני אוכלוסיה בישובים בהם מעל 2000 תושבים.
192|0|961|dataset|2020-06-11|תקציב וביצוע 2014|mof|No|NA|1|1|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
193|0|969|dataset|2020-06-11|תקציב וביצוע 2015|mof|No|NA|1|2|משרד האוצר|talid@mof.gov.il|משרד האוצר|||במאגר זה תוכלו למצוא מידע אודות תקציב 2015
194|0|982|dataset|2023-02-14|קבצי תקציב וביצוע מעודכנים לשנים 2005-2014, כולל מיון כלכלי|mof|No|NotConstant|10|2|--|talid@mof.gov.il|משרד האוצר|other-open|אחר (פתוח)|מאגר המכיל קבצי תקציב וביצוע לשנים 2005-2014 כולל מיון כלכלי.
195|0|983|dataset|2020-06-08|סנקציות על פי חוק כפיית ציות|rabinical_court|No|NA|1|3|בתי דין רבניים|uri@rbc.gov.il|בתי הדין הרבניים|||
196|0|991|dataset|2020-06-11|תקציב מקורי 2016 ברמת תקנה|mof|No|NA|1|2|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
198|0|academic|dataset|2020-06-11|מוסדות אקדמאיים|israel_mapping_center|No|NA|1|2|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||שכבת מוסדות אקדמאיים
199|0|accessibilityorders|dataset|2023-03-24|תיקי פיקוח חדשים עם תוצאה תקינה - נציבות שוויון זכויות לאנשים עם מוגבלות|ministry_of_justice|No|Day|2|2|--|yehudakat@justice.gov.il|משרד המשפטים|other-open|אחר (פתוח)|רשימת הפיקוחים שבהם לא נמצאו ליקויי נגישות במהלך הפיקוח. מפקחי הנציבות ביקרו במקומות המפורטים ברשימה ובדקו בהם את ביצוע ההתאמות על פי תקנות הנגישות. בבדיקה זו לא נמצאו ליקויים או שנמצאו ליקויים מעטים. הפרסום נכון ליום ביצוע הבקרה ומתייחס רק לנושאים שנבדקו.
201|2|accidents_municipal|dataset|2023-02-20|תאונות דרכים לפי רשות מוניציפלית|ministry_of_transport|No|NotConstant|4|5|--|geo@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|תאונות דרכים, שנחקרו על ידי המשטרה, ונאספו על ידי הלמ"ס (מאגרים: ת.ד. מורחב וכללי), בחמשת השנים האחרונות. מיפוי בכל הרמות וסכימה לפי שטח רשות מוניציפלית.
202|0|accid_taz|dataset|2023-02-20|תאונות דרכים לפי אזורי תנועה|ministry_of_transport|No|NotConstant|4|5|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|תאונות דרכים, שנחקרו על ידי המשטרה, ונאספו על ידי הלמ"ס (מאגר ת.ד. מורחב), בחמשת השנים האחרונות. מיפוי ברמה מדויקת וברמת מרכז אבני ק"מ וסכימה לפי אזורי תנועה מתוך המודל הארצי לתחבורה.
203|0|acquifer|dataset|2023-01-01|רשימת אקוויפרים|water_authority|No|Year|1|4|--|Inf_datagov@water.gov.il|הרשות הממשלתית למים ולביוב|cc-by|Creative Commons Attribution|רשימת אקוויפרים
205|0|afq|dataset|2020-06-11|תצלום אויר 2015 2 מטר - גליון אפיקים|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
206|0|aidtools|dataset|2022-11-16|כלי סיוע של משרד הכלכלה והתעשייה|moital|No|NotConstant|1|2|--|israel.vaks@economy.gov.il|משרד הכלכלה והתעשייה|other-open|אחר (פתוח)|מערך כלי סיוע לתעשייה נועד לסייע לחברות הישראליות לחזק את יכולותיהן השיווקיות בשוק הבין-לאומי בעזרת מספר תכניות מימוניות ייעודיות. מטרת התכניות - לתמוך בהוצאות השיווק הבין-לאומי ולהעניק ליווי מקצועי לחברות הרוצות להשקיע בשיווק בין-לאומי, וזאת במטרה להגדיל את הייצוא.
208|1|airport|dataset|2022-11-06|שדות תעופה אזרחיים|ministry_of_transport|Yes|NotConstant|4|6|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|תחומי הגבלות בניה ושימושי קרקע של שדות תעופה אזרחיים בפריסה ארצית.מקור: רשות התעופה האזרחית
209|9|air-stations|dataset|2021-07-01|תחנות ניטור איכות אוויר|ministry_of_the_environment|Yes|NotConstant|2|2|--|ginott@sviva.gov.il|המשרד להגנת הסביבה|||רשימת תחנות ניטור איכות אוויר בישראל. הרשימה כוללת מידע כגון שם חדש וישן של התחנה, סוג התחנה, גוף מנטר, מיקום התחנה והפרמטרים הנמדדים בה.
210|0|airstrip|dataset|2022-11-06|מנחתים|ministry_of_transport|Yes|NotConstant|4|5|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|תחומי הגבלת בניה של מנחתים בפריסה ארצית
211|0|alhakav|dataset|2021-09-29|מרכזי שירות ומידע על-הקו|ministry_of_transport|No|NA|1|1|--|lariny@mot.gov.il|משרד התחבורה והבטיחות בדרכים|||רשימת מרכזי שירות ומידע הממוקמים ברחבי הארץ ומספקים לציבור הנוסעים בתחבורה הציבורית מגוון שירותים לכרטיס הרב-קו, הנוגעים לכלל אמצעי התחבורה הציבורית.הפורמט של הקובץ AllHakav-ChargingRavKav.xlsx מוגדר בסעיף 8 בקובץ ההסבר שבקישור: https://www.gov.il/he/departments/general/gtfs_general_transit_feed_specifications משרד התחבורה עובר לעדכון של הקובץ AllHakav-ChargingRavKav.xlsx בלבד. שני הקבצים הנוספים לא יעודכנו יותר, ובעתיד ימחקו.
212|0|aluyot-pituach|dataset|2023-03-01|עלויות פיתוח בבניה העירונית|ministry_of_housing|No|Month|1|2|--|yanivl@moch.gov.il|משרד הבינוי והשיכון|cc-by|Creative Commons Attribution|המאגר מכיל את נתוני עלויות הפיתוח בבניה העירונית, עבור מכרזים פתוחים שעלויותיהם אושרו על ידי משרד הבינוי והשיכון, והמידע הועבר לרשות מקרקעי ישראל (רמ"י) לצורך פרסום.
213|0|ambrosia|dataset|2020-06-11|מוקדי אמברוסיה|ministry_of_the_environment|No|NA|1|4|--|pniot@sviva.gov.il|המשרד להגנת הסביבה|||המשרד להגנת הסביבה, משרד החקלאות, רשות הטבע והגנים, רשויות ניקוז ורשויות נחלים נערכו במשותף לבלימת המשך התפשטות האמברוסיה המכונסת. מין פולש זה גורם לנזקים לחקלאות, לבתי גידול לחים, לתשתיות, לגינות ופארקים ועלול אף לגרום לאלרגיות אצל בני האדם. בכל מקרה שנצפתה אמברוסיה מכונסת יש לדווח על כך למוקד המידע של המשרד להגנת הסביבה בטלפון: *6911
215|0|antennaactive|dataset|2023-03-23|אנטנות סלולריות פעילות|ministry_of_the_environment|No|Month|1|6|--|arielt@sviva.gov.il|המשרד להגנת הסביבה|||מוקדים לשידורים סלולריים פעילים של החברות: סלקום, פלאפון,  PHI.
216|0|antenna_hakama|dataset|2023-03-19|אנטנות סלולריות בהקמה|ministry_of_the_environment|No|NotConstant|1|6|--|arielt@sviva.gov.il|המשרד להגנת הסביבה|other-open|אחר (פתוח)|מוקדים לשידורים סלולריים בהקמה של החברות: סלקום, פלאפון, PHI. לפרטים נוספים: https://www.gov.il/he/departments/guides/radio_frequency_radiation
217|0|ap|dataset|2021-05-13|חשיפה לרעש משדות תעופה|ministry_of_the_environment|Yes|Year|1|1|--|ginott@sviva.gov.il|המשרד להגנת הסביבה|cc-by|Creative Commons Attribution|אזורים שונים ברחבי הארץ החשופים לרעש משדות תעופה אזרחיים וצבאיים. נתונים על כל אזור: מקור הרעש, שטח הרעש החשוף לרעש בדונמים, מפלס הרעש [מה שמכונה dB(A) Ldn] ביום ובלילה. הנתונים נכונים ל 2019
219|5|approved-items-by-personal-import|dataset|2023-03-05|ציוד אלחוטי - פריטים ביבוא אישי שקיבלו אישור ממשרד התקשורת|tikshoret|No|Quarter|2|6|--|baskisy@moc.gov.il|משרד התקשורת|cc-by|Creative Commons Attribution|רשימת פריטים שקיבלו אישור מיוחד  מממשרד התקשורת. הרשימה המחייבת של מכשירים אלחוטיים המותרים בייבוא אישי קבועה בחקיקה. הרשימה המפורטת באתר היא אינה הרשימה המחייבת.
220|5|aquifer_level_history|dataset|2022-11-28|מפלס מי תהום היסטורי|water_authority|No|NoUpdate|1|6|--|Inf_datagov@water.gov.il|הרשות הממשלתית למים ולביוב|other-open|אחר (פתוח)|שכבת מפלסי מי תהום באקוויפר החוף שנמדדו בשנת 1933. מפלסים אלו מייצגים את המפלסים ההיסטוריים טרם ירידת המפלסים בעקבות הפקת מים.
221|1|aquifer-sensitivity|dataset|2020-06-11|אזורי סכנה למקורות מים מזיהום דלק|ministry_of_the_environment|No|NA|1|5|--|TanyaT@sviva.gov.il|המשרד להגנת הסביבה|||אזורי סכנה למקורות מים מזיהום דלק
222|0|ararim|dataset|2023-03-23|מאגר החלטות בית הדין לעררים|ministry_of_justice|No|Day|1|2|--|yehudakat@justice.gov.il|משרד המשפטים|cc-by|Creative Commons Attribution|המאגר מכיל החלטות של בתי הדין לעררים
223|0|arb|dataset|2020-06-11|תצלום אויר 2015 2 מטר - גליון ארבל|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
224|0|archivesfreedomofinformationforzover|dataset|2021-10-13|מאגר חופש המידע (ארכיון)|ministry_of_the_environment|No|NoUpdate|1|1|--|baruchb@sviva.gov.il|המשרד להגנת הסביבה|other-open|Other (Open)|מאגר זה מכיל נתונים היסטוריים של נושאים סביבתיים, בדגש על חומרים שנפלטו, נשפכו וסולקו לסביבה, וכן תוצאות של מדידות רעש, ריח וקרינה שלא ברשות היחיד. המידע המפורסם בחלקו מעובד ובחלקו גולמי.
225|0|archivespermissiontostreamforzover|dataset|2021-10-13|מאגר צווי הרשאה להזרמה לנחלים (ארכיון)|ministry_of_the_environment|No|NoUpdate|1|2|--|baruchb@sviva.gov.il|המשרד להגנת הסביבה|other-open|Other (Open)|מאגר זה מכיל נתונים היסטוריים (עד 2018). הנתונים העדכניים שמורים במאגר המידע מאגר צווי הרשאה להזרמה לנחלים
227|0|archives-yco|dataset|2020-06-09|ארכיון פרשת ילדי תימן ואחרים|archives|No|NA|4|5|--|ronit@archives.gov.il|ארכיון המדינה|||פרסום זה מציג את רשימת הנעדרים, שעניינם נחקר לאורך השנים, בשלוש ועדות חקירה. בקובץ קישורים לדוחות המלאים של ועדות החקירה  וקישורים לאתר ארכיון המדינה לחיפוש תיקים ומסמכים בעניינו של כל נחקר. בנוסף, לכל נחקר הוספנו קישור פרטני לממצאי כל ועדה שעניינו של הילד נחקר בה.
228|0|ard|dataset|2020-06-11|תצלום אויר 2015 2 מטר - גליון ערד|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
229|0|arl|dataset|2020-06-11|תצלום אויר 2015 2 מטר - גליון אריאל|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
230|0|arrivaltostationdayandhours|dataset|2023-03-14|מאגר זמני הגעה לתחנה VM ברמת יום ושעה|ministry_of_transport|No|Month|2|4|--|bidata@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|המאגר מציג את ממוצע זמני ההגעה וסטיית התקן בדק' לכל תחנה קו כיוון וחלופה, מהתחנה הראשונה לפי  יום ושעת יציאת הרכב המתוכננת ברישוי בחודש. הנתונים המוצגים הינם ממוצעים חודשיים של זמני ההגעה המשוערים של קווי השירות באוטובוסים לתחנות הביניים במסלול הנסיעה של הקו, וחושבו בהסתמך על נתונים חיצוניים המתקבלים על בסיס מערכות האיכון ובהתחשב במקורות חיצוניים נוספים כגון מאפייני הדרך והנסיעה.משרד התחבורה אינו חב באחריות כלשהי ביחס למידע זה, לרבות תקינותו, דיוקו או שלמותו, והסתמכות על המידע הינה באחריות עושה השימוש במידע בלבד. המשרד לא יישא באחריות כלשהי בגין כל נזק מכל מין וסוג שהוא, ככל שייגרם, במישרין או בעקיפין, כתוצאה משימוש במידע או הסתמכות עליו.
231|0|arrivaltostationhours|dataset|2023-03-14|זמני הגעה לתחנה VM ברמת שעה|ministry_of_transport|No|Month|2|4|--|bidata@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|המאגר מציג את ממוצע זמני ההגעה וסטיית התקן בדק' לכל תחנה קו כיוון וחלופה, מהתחנה הראשונה לפי שעת יציאת הרכב המתוכננת ברישוי בחודש. הנתונים המוצגים הינם ממוצעים חודשיים של זמני ההגעה המשוערים של קווי השירות באוטובוסים לתחנות הביניים במסלול הנסיעה של הקו, וחושבו בהסתמך על נתונים חיצוניים המתקבלים על בסיס מערכות האיכון ובהתחשב במקורות חיצוניים נוספים כגון מאפייני הדרך והנסיעה.משרד התחבורה אינו חב באחריות כלשהי ביחס למידע זה, לרבות תקינותו, דיוקו או שלמותו, והסתמכות על המידע הינה באחריות עושה השימוש במידע בלבד. המשרד לא יישא באחריות כלשהי בגין כל נזק מכל מין וסוג שהוא, ככל שייגרם, במישרין או בעקיפין, כתוצאה משימוש במידע או הסתמכות עליו.
232|0|asbest|dataset|2023-03-23|מרשם העוסקים באסבסט|ministry_of_the_environment|No|Times in day|1|6|--|arielt@sviva.gov.il|המשרד להגנת הסביבה|other-open|אחר (פתוח)|מאגר מידע המכיל פרטים של בעלי רישיונות אשר עוסקים בתחום האסבסט. במאגר תוכלו למצוא את פרטיהם של קבלנים, מפקחים, סוקרים ועובדים אחראים בתחום האסבסט.ניתן לשלוף גם באתר המשרד להגנת הסביבה:https://www.gov.il/he/Departments/DynamicCollectors/asbest_list
234|0|asbestsamplinganalysis|dataset|2022-05-26|מרשם מעבדות דיגום ואנליזה אסבסט|ministry_of_the_environment|No|NotConstant|1|5|--|arielt@sviva.gov.il|המשרד להגנת הסביבה|||מרשם מעבדות אנליזה ופרטיהן, מעבדות דוגמות ופרטיהן, דוגמי אסבסט והכרה במעבדות חוץ (לפי סעיף 33 בחוק למניעת מפגעי אסבסט ואבק מזיק, התשע"א-2011).1. מעבדות המבצעות דגימות אוויר לבדיקת נוכחות סיבי אסבסט.2. מעבדות המבצעות אנליזה באמצעות מיקרוסקופ לבדיקת ריכוז סיבי האסבסט מדגימת אוויר שניטלה על ידי הדוגם באתר העבודה.3. דוגמיםהמידע מצוי גם באתר המשרד להגנת הסביבה :https://www.gov.il/he/Departments/Guides/find_licensed_asbestos_workers
235|7|asbest-waste-sites|dataset|2020-06-29|אתרי פסולת אסבסט|ministry_of_the_environment|No|NotConstant|1|5|--|arielt@sviva.gov.il|המשרד להגנת הסביבה|||מאגר זה מכיל את כלל אתרי הפסולת בעלי רישיון לעבוד עם אסבסט. המאגר כולל את פרטי אתר הפסולת, סוג האסבסט בו מטפל ותוקף הרישיון.לפי סעיף 33 בחוק למניעת מפגעי אסבסט ואבק מזיק, התשע"א-2011.
236|0|asd|dataset|2020-06-11|תצלום אויר 2015 2 מטר - גליון אשדוד|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
237|0|asq|dataset|2020-06-11|תצלום אויר 2015 2 מטר - גליון אשקלון|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
238|2|assb122019|dataset|2021-10-13|תקציב מול ביצוע ברוטו, כולל מפעלים עסקיים לשנת 2019|mof|No|NA|1|1|--|pniot@mof.gov.il|משרד האוצר|other-open|Other (Open)|קובץ האקסל המצורף הופק מהמערכות התפעוליות ומהווה תמונת מצב לנתוני התקציב וביצועו בשנת 2019 ברמת פירוט של תקנה תקציבית.
240|4|assb32019|dataset|2020-07-09|ביצוע תקציב על שינוייו מרץ 2019 לא מבוקר|mof|No|NA|1|1|--|pniot@mof.gov.il|משרד האוצר|cc-by|Creative Commons Attribution|דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2019.
241|0|assb32020|dataset|2021-10-13|ביצוע תקציב על שינוייו  31 במרץ 2020 -  לא מבוקר|mof|No|NA|1|1|--|pniot@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2020.
242|5|assb62017|dataset|2020-06-11|ביצוע תקציב על שינוייו יוני 2017 לא מבוקר|mof|No|NA|1|1|--|pniot@mof.gov.il|משרד האוצר|||ביצוע תקציב על שינוייו יוני 2017 לא מבוקר. דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2017.
243|6|assb62018|dataset|2020-06-11|ביצוע תקציב על שינוייו יוני 2018 לא מבוקר|mof|No|NA|1|1|--|pniot@mof.gov.il|משרד האוצר|cc-by|Creative Commons Attribution|ביצוע תקציב על שינוייו יוני 2018 לא מבוקר. דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2018
244|3|assb62020|dataset|2020-10-29|אומדן ביצוע תקציב על שינוייו  30 ביוני 2020 -  לא מבוקר|mof|No|NA|1|1|--|pniot@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2020.
245|9|assb92017|dataset|2020-06-09|ביצוע תקציב על שינוייו ספטמבר 2017 לא מבוקר|mof|No|NA|1|1|--|pniot@mof.gov.il|משרד האוצר|||ביצוע תקציב על שינוייו ספטמבר 2017 לא מבוקר. דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2017
246|7|assb92018|dataset|2020-06-11|ביצוע תקציב על שינוייו ספטמבר 2018 לא מבוקר|mof|No|NA|1|1|--|pniot@mof.gov.il|משרד האוצר|cc-by|Creative Commons Attribution|ביצוע תקציב על שינוייו ספטמבר 2018 לא מבוקר. דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2018
247|8|assb92019|dataset|2020-06-11|ביצוע תקציב על שינוייו ספטמבר 2019 לא מבוקר|mof|No|NA|1|1|--|shimritl@cio.gov.il|משרד האוצר|cc-by|Creative Commons Attribution|ביצוע תקציב על שינוייו ספטמבר 2019 לא מבוקר. דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2019
248|2|assb92020|dataset|2021-05-13|אומדן ביצוע ליום 30 בספטמבר 2020 לא מבוקר|mof|No|NA|1|1|--|pniot@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2020.
249|0|atarim-leumim|dataset|2020-06-11|אתרים לאומיים|ministry_of_the_environment|No|NA|1|1|--|TanyaT@sviva.gov.il|המשרד להגנת הסביבה|||אתרים שהוכרזו על ידי המדינה כ"אתרים בעלי חשיבות לאומית היסטורית להתפתחות הישוב בארץ".
250|0|atirot|dataset|2022-09-08|היחידה לחופש המידע - מאגר עתירות|ministry_of_justice|No|NotConstant|2|0|--|yehudakat@justice.gov.il|משרד המשפטים|other-open|אחר (פתוח)|קובץ הכולל את כל עתירות חופש המידע שהוגשו לבתי המשפט המחוזיים בנושא חופש המידע בשנת 2021 לרבות מספר הליך, שם המשיב ועילת העתירה.
251|0|atl|dataset|2020-06-11|תצלום אויר 2015 2 מטר - גליון עתלית|israel_mapping_center|No|NA|1|0|--|yaron@mapi.gov.il|המרכז למיפוי ישראל|||1.תאריך עדכון: 01/11/17 2.השימוש בנתונים באחריות המשתמש בלבד.3.הנתונים מתעדכנים מעת לעת, ולכן בדיקת עדכניותם היא באחריות המשתמש.
252|5|audit-cities|dataset|2022-07-17|דוחות כספיים מבוקרים עיריות|interior_affairs|No|NA|8|4|--|debbieso@moin.gov.il|משרד הפנים|||דוחות כספיים מבוקרים של הרשויות המקומיות (עיריות) המבוצעים על-ידי אגף בכיר לביקורת ברשויות - משרד הפנים.
253|0|autism-schools|dataset|2022-08-09|מסגרות לימוד לילדים על פני רצף האוטיזם|ministry-health|No|NotConstant|1|4|--|Call.Habriut@MOH.GOV.IL|משרד הבריאות|other-open|אחר (פתוח)|רשימת מסגרות לימוד ברחבי הארץ המיועדות לילדים הנמצאים על פני הרצף האוטיסטי.
254|0|automated-devices|dataset|2023-03-24|מכשירים אוטומטיים|bank_israel|No|Day|2|4|--|support@boi.gov.il|בנק ישראל|other-open|אחר (פתוח)|המידע מוצג ככלי עזר לציבור, והאחריות לתוקפו על התאגידים הבנקאיים בלבד
255|1|average-salary|dataset|2020-06-11|שכר ממוצע במשק|social_security|No|NA|1|3|--|cochava@nioi.gov.il|המוסד לביטוח לאומי|||שכר ממוצע לפי סעיפים 1 ו-2 מאז שנת 1973 ועד היום
256|0|avian-influenza-events|dataset|2023-01-21|אירועי שפעת העופות|ministry_of_agriculture|No|NotConstant|1|1|--|netaor@moag.gov.il|משרד החקלאות ופיתוח הכפר|other-open|אחר (פתוח)|מאגר זה מציג נתונים על מקרי שפעת העופות בישראל
